Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2021-07-29,54.41,54.42,54.69,53.51,1.89K,0.39%,0.003874538745387346,0.0012848172136992512,0,0
2021-07-30,53.69,54.15,54.24,53.2,1.35K,-1.32%,-0.01323286160632231,-0.016358146205623217,0,0
2021-08-02,54.79,53.47,55.56,53.46,2.01K,2.05%,0.02048798658968143,0.021658397393216237,0,0
2021-08-03,54.55,54.75,55.48,54.42,1.20K,-0.44%,-0.004380361379813902,-0.005370890023113554,0,0
2021-08-04,55.82,54.88,55.93,54.55,1.19K,2.33%,0.023281393217231994,0.02155583076411032,0,0
2021-08-05,56.34,55.95,56.48,55.05,1.86K,0.93%,0.009315657470440719,0.00925098075836374,0,0
2021-08-06,57.02,56.63,57.3,56.54,1.83K,1.21%,0.012069577564785217,0.008135995238679543,0,0
2021-08-09,56.98,56.9,57.7,56.25,2.14K,-0.07%,-0.000701508242721971,-0.0007775596611343247,0,0
2021-08-10,57.77,57.45,57.92,56.96,1.75K,1.39%,0.013864513864513928,0.010829468704033717,0,0
2021-08-11,58.14,57.37,58.53,56.34,2.38K,0.64%,0.006404708326120723,0.006832505816301559,0,0
2021-08-12,56.63,57.99,58.4,56.3,1.92K,-2.60%,-0.02597179222566215,-0.027680937512539163,1,0
2021-08-13,55.74,56.73,56.73,55.58,1.51K,-1.57%,-0.01571605156277589,-0.017644144943262042,0,0
2021-08-16,58.52,55.5,58.6,55.46,0.92K,4.99%,0.049874416935773214,0.04874564616704802,1,0
2021-08-17,57.56,58.28,58.58,57.37,3.41K,-1.64%,-0.01640464798359531,-0.014757744946762661,0,0
2021-08-18,57.45,57.42,58.37,55.73,3.12K,-0.19%,-0.0019110493398193373,-0.005848246777798299,0,0
2021-08-19,53.84,57.3,57.3,52.86,10.11K,-6.28%,-0.06283724978241945,-0.065186203194702,1,0
2021-08-20,54.72,54.03,55.2,53.82,4.13K,1.63%,0.01634472511144125,0.010538029011368851,0,0
2021-08-23,55.67,55.53,56.55,55.26,5.65K,1.74%,0.01736111111111116,0.023489197250433476,0,0
2021-08-24,56.97,56.08,57.18,55.79,2.99K,2.34%,0.023351895096102027,0.02001554701710319,0,0
2021-08-25,56.87,56.98,57.42,56.19,2.41K,-0.18%,-0.00175530981218186,-0.0025011007222905937,0,0
2021-08-26,57.19,56.65,57.86,55.97,1.32K,0.56%,0.005626868296114029,-0.0022033382614247126,0,0
2021-08-27,59.32,57.84,60.25,57.84,7.80K,3.72%,0.03724427347438364,0.0368307749201831,1,0
2021-08-30,61.08,60.31,61.29,60.15,4.29K,2.97%,0.029669588671611624,0.02981764471422989,1,0
2021-08-31,61.07,60.56,61.25,60.26,3.09K,-0.02%,-0.00016371971185324963,-0.0009976054726793197,0,0
2021-09-01,60.42,61.14,62.18,60.0,7.52K,-1.06%,-0.010643523825118684,-0.013968696711041952,0,0
2021-09-02,61.83,60.62,62.03,59.89,1.92K,2.33%,0.02333664349553133,0.02116374236374282,0,0
2021-09-03,61.63,61.69,62.75,61.44,3.37K,-0.32%,-0.0032346757237585733,-0.0013450419768274032,0,0
2021-09-06,62.61,62.48,63.47,62.17,2.32K,1.59%,0.015901346746714173,0.015065105220550944,0,0
2021-09-07,62.28,63.03,63.16,61.96,4.40K,-0.53%,-0.005270723526593191,-0.00597916507508907,0,0
2021-09-08,62.74,62.71,63.61,62.27,4.77K,0.74%,0.0073859987154785145,0.0034895155142379477,0,0
2021-09-09,63.04,62.55,63.36,62.17,3.45K,0.48%,0.004781638508128738,0.005471896810376346,0,0
2021-09-10,61.22,63.13,63.17,60.95,2.94K,-2.89%,-0.02887055837563457,-0.03131019508324404,1,0
2021-09-13,61.37,61.23,62.99,61.2,5.21K,0.25%,0.0024501796798430675,0.0008519894763613601,0,0
2021-09-14,60.16,61.8,62.25,59.6,7.05K,-1.97%,-0.01971647384715658,-0.020309329900478606,0,0
2021-09-15,60.18,60.51,61.71,59.1,5.10K,0.03%,0.0003324468085106336,-0.0017722130709792675,0,0
2021-09-16,59.63,59.61,60.98,58.64,5.51K,-0.91%,-0.009139248919906917,-0.008893268854144864,0,0
2021-09-17,59.82,59.93,60.48,59.44,6.71K,0.32%,0.0031863156129463555,-0.0010601921972405379,0,0
2021-09-20,61.02,59.59,61.36,58.88,8.92K,2.01%,0.02006018054162495,0.019507233819473023,0,0
2021-09-21,60.5,60.95,61.5,60.21,2.43K,-0.85%,-0.00852179613241566,-0.011180871970056632,0,0
2021-09-22,60.94,60.64,61.05,60.2,5.54K,0.73%,0.0072727272727273196,0.004467808175960198,0,0
2021-09-23,60.89,60.96,61.47,59.5,6.07K,-0.08%,-0.0008204791598293015,-0.002468217650960657,0,0
