Date,Close,High,Low,Open,Volume
10/12/19,10.40117168,10.46682352,10.3917926,10.46682352,186300
11/12/19,10.55123138,10.55123138,10.41992685,10.46682139,202500
12/12/19,10.62626266,10.64502084,10.5137163,10.58874721,325300
13/12/19,10.67315578,10.7388076,10.63564033,10.68253487,429100
16/12/19,10.89232445,10.91121877,10.75062067,10.76006783,456500
17/12/19,10.93955898,10.97734672,10.93011182,10.94900614,237500
18/12/19,10.92066669,10.95845443,10.86398464,10.95845443,253400
19/12/19,10.93955898,10.9584533,10.86398352,10.92066557,715800
20/12/19,10.98679543,11.05292374,10.86398505,10.86398505,370100
23/12/19,11.06237125,11.08126467,10.98679578,11.08126467,329400
24/12/19,11.09071159,11.09071159,11.01513612,11.08126443,272800
26/12/19,11.15683937,11.15683937,11.07181674,11.10015732,644400
27/12/19,11.11905193,11.21352082,11.10960477,11.21352082,260200
30/12/19,11.06237125,11.18518163,11.01513635,11.15684105,319500
31/12/19,11.10015869,11.11905301,11.02458321,11.04347663,193800
02/01/20,11.27020264,11.28909605,11.12849796,11.17573285,378800
03/01/20,11.213521,11.29854363,11.18518043,11.23241532,424200
06/01/20,11.18518066,11.21352124,11.10015803,11.1757335,561600
07/01/20,11.15683937,11.1946271,11.10015732,11.1946271,305900
08/01/20,11.25130844,11.29854333,11.1473924,11.17573297,597500
09/01/20,11.27020264,11.33633095,11.25130832,11.31743663,517500
10/01/20,11.28909874,11.37412139,11.28909874,11.31743932,929400
13/01/20,11.45914078,11.46858794,11.35522474,11.35522474,507900
14/01/20,11.55361271,11.60084761,11.44969664,11.49693155,1377600
15/01/20,11.572505,11.59139932,11.49692953,11.58195216,753400
16/01/20,11.66697502,11.68586844,11.61029297,11.65752786,644800
17/01/20,11.79923153,11.79923153,11.7142089,11.74255038,1448200
21/01/20,11.7425518,11.7897858,11.68586974,11.7897858,922300
22/01/20,11.70476246,11.78978419,11.67642098,11.78978419,862300
23/01/20,11.73310375,11.74255091,11.5819528,11.72365659,568400
24/01/20,11.7425518,11.82757444,11.68586974,11.80868012,578700
27/01/20,11.46858883,11.56305772,11.44969451,11.5441643,1545400
28/01/20,11.69531631,11.69531631,11.50637762,11.5347182,574400
29/01/20,11.75199795,11.78033943,11.67642247,11.76144511,891500
30/01/20,11.62918854,11.62918854,11.52527158,11.56305932,2212200
31/01/20,11.44969559,11.61974086,11.42135501,11.60084654,1131500
03/02/20,11.60084629,11.62918777,11.47803592,11.47803592,757200
04/02/20,11.99761677,11.99761677,11.74254979,11.8086781,2099600
05/02/20,12.14877033,12.18655807,12.02595995,12.09208917,1495500
06/02/20,12.18655491,12.2337898,12.09208603,12.13932092,981800
07/02/20,12.05430222,12.12043054,12.00706731,12.12043054,1080200
10/02/20,12.09208775,12.09208775,11.97872453,12.05430001,748000
11/02/20,12.40383625,12.40383625,12.21489757,12.26213156,704800
12/02/20,12.67779922,12.67779922,12.47941336,12.52664826,1354600
13/02/20,12.61167049,12.61167049,12.43217806,12.51720069,708300
14/02/20,12.6022234,12.63056398,12.56443566,12.62111682,824800
18/02/20,12.64945889,12.67779947,12.56443624,12.5738834,1413200
19/02/20,13.35797787,13.35797787,12.93286471,12.95175903,3754600
20/02/20,13.45244694,13.48078842,13.14069788,13.40521204,1762700
21/02/20,13.32963657,13.35797805,13.19737995,13.32019032,1327500
24/02/20,12.85728931,12.94231195,12.61166948,12.75337326,1550300
25/02/20,12.50775242,12.98009957,12.44162411,12.98009957,1534900
26/02/20,12.33770847,12.64945753,12.30936699,12.46051794,2581000
27/02/20,11.86536121,12.16766311,11.71420936,11.96927727,1584900
28/02/20,11.86536121,11.86536121,11.33633199,11.43080178,1727000
02/03/20,11.98817062,12.0165121,11.63863383,11.88425457,1503200
03/03/20,12.0826416,12.41328501,11.99761896,12.19600482,1844400
04/03/20,12.54553986,12.54553986,12.2148974,12.36604834,1038200
05/03/20,12.41328335,12.53609371,12.21489751,12.29047298,1471100
06/03/20,12.03540516,12.15821553,11.8181259,12.06374664,800500
09/03/20,10.67504597,11.14739313,10.57112902,11.04347617,2025600
10/03/20,10.92066669,11.11905254,10.59002332,11.07181764,1810000
11/03/20,10.2499342,10.6939399,10.02320686,10.66559932,1591200
12/03/20,8.936806679,9.475282055,8.889571791,9.446941483,1440100
13/03/20,9.409155846,9.853162446,8.936808666,9.635882275,636100
16/03/20,8.294416428,8.880126837,8.294416428,8.615612662,823000
17/03/20,8.946255684,8.946255684,8.303863242,8.558931147,1151700
18/03/20,8.029902458,8.511696822,7.774834536,8.27552322,724400
19/03/20,8.218841553,8.322758519,7.633131101,7.850411293,788900
20/03/20,8.209393501,8.681740676,8.114924607,8.313310456,780100
